ANNO_MESE;FLEET;OT_TYPE;THING;VEHICLE;BASELINE;CUID;ITEMS_GROUP;TSTAMP;S_BCE1_BCE1_ITRACTION;S_BCE2_BCE2_ITRACTION;S_BCE3_BCE3_ITRACTION;S_BCE4_BCE4_ITRACTION;S_BCE5_BCE5_ITRACTION;S_MPU1_BCE_CRELEASEHOLDINGH;S_MPU1_BCE_CRELEASEHOLDINGL;S_MPU1_BCE_CTLTRACTION;S_MPU1_DDU_CDRVLOCALCABACTIVE_H1;S_MPU1_DDU_CDRVLOCALCABACTIVE_H2;S_MPU1_DDU_CTRACTIONINHIBIT;S_MPU1_F_TBS_CONSTCLTRACCUTOFFTRAIN_IOS;S_MPU1_F_TBS_CONSTCLTRACCUTOFF_IOS;S_MPU1_F_TBS_CONSTCLTRACTIONTRAIN_IOS;S_MPU1_F_TBS_CONSTCLTRACTION_IOS;S_MPU1_F_TBS_ENCODERDIFFERFAILH1_IOS;S_MPU1_F_TBS_ENCODERDIFFERFAILH2_IOS;S_MPU1_F_TBS_ENCODERR1H1FAIL_IOS;S_MPU1_F_TBS_ENCODERR1H2FAIL_IOS;S_MPU1_F_TBS_ENCODERR2H1FAIL_IOS;S_MPU1_F_TBS_ENCODERR2H2FAIL_IOS;S_MPU1_F_TBS_INCONTRACTIONCOM_H1_IOS;S_MPU1_F_TBS_TRACCONVEREBDOOR_H1_IOS;S_MPU1_F_TBS_TRACCONVEREBDOOR_H2_IOS;S_MPU1_F_TBS_TRACCUTOFFINCONTS_IOS;S_MPU1_F_TBS_TRACMICROSWITCHMC_H1_IOS;S_MPU1_F_TBS_TRACMICROSWITCHMC_H2_IOS;S_MPU1_F_TBS_TRACTIONFAULT_H1;S_MPU1_F_TBS_TRACTIONFAULT_H2;S_MPU1_F_TBS_TRACTIONINHIBIT;S_MPU1_MPU_CTRAINSPEED;S_PCE1_PCE1_INOBRAKE;S_PCE1_PCE1_INOTRACTIONCUTOFF;S_PCE1_PCE1_ITRACTION;S_PCE2_PCE2_INOBRAKE;S_PCE2_PCE2_INOTRACTIONCUTOFF;S_PCE2_PCE2_ITRACTION;S_PCE3_PCE3_INOBRAKE;S_PCE3_PCE3_INOTRACTIONCUTOFF;S_PCE3_PCE3_ITRACTION;S_PCE4_PCE4_INOTRACTIONCUTOFF;S_PCE4_PCE4_ITRACTION;S_RIO1_H1_LI_TBSTRACTIONFAULT_H1;S_RIO1_H2_LI_TBSTRACTIONFAULT_H2;S_RIO2_H1_LI_ATPNOTRACTIONBLOCKDIS_H1;S_RIO2_H1_LI_ATPNOTRACTIONBLOCKSCMT_H1;S_RIO2_H2_LI_ATPNOTRACTIONBLOCKDIS_H2;S_RIO2_H2_LI_ATPNOTRACTIONBLOCKSCMT_H2;S_RIO3_H1_LI_TBSMOTORING_R1_H1;S_RIO3_H1_LI_TBSNOBRAKE_R1_H1;S_RIO3_H2_LI_TBSMOTORING_R1_H2;S_RIO3_H2_LI_TBSNOBRAKE_R1_H2;S_RIO4_H1_LI_TBSMOTORING_R2_H1;S_RIO4_H2_LI_TBSMOTORING_R2_H2
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:09.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:10.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:11.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:12.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:13.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:14.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:15.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:16.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:17.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:18.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:19.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:20.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:21.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:22.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:23.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:24.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:25.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
20263;ETR104;RECORDINGS;ETR104148;;I0220;DBX;ALLBUS;2026-03-28 07:00:26.900000000;0;0;0;0;0;0;1;0;1;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;1;1;0;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
